talking;0.008668089383072073,0.034902932022175426,0.02304458569778496,-0.037887215517506775,-0.11354105320006888,0.012993531748799908,-0.043592085044142345,0.06629740144369729,-0.020299880995990453,0.021594249645635784,-0.027162446706159738,-0.05665475698168107,-0.8134745182963555,0.01654380004496996,0.00028172215044019696,0.005939624586074355,-0.09329262536779105,0.0008483983531662892,-0.02932669540482137,-0.004350847365310936,0.0005928208415375619,-0.013665156326386062,-0.053715495004598254,0.06197211986910605,0.012034412618969545,0.07671505918413468,0.017278615539240663,-0.04378181858533259,-0.02764482011596545,-0.04960567355305358,0.044066418897117966,-0.05955864490871147,-0.10091573315408733,-0.09421878231461801,-0.09043697478174122,0.0735924953113257,-0.040839340785517736,0.020508909473572926,0.026980752721799586,-0.052056130474866597,-0.03364232951121649,0.06544520841970719,0.09306590986518236,0.010366526158997991,-0.0110342917493057,0.02725570556538884,0.02020019049129727,0.1466945776560156,-0.0009959403001121969,-0.028675491301583658,-0.08859913209038145,-0.0515753649764269,0.023350088857328578,-0.1074808352615431,0.08180088283485291,0.05271215831220238,-0.10822047448991187,-0.0417140445686321,0.06382604167412602,0.007237530640724929,0.001430237160073941,-0.027882790998136273,0.03677454085222159,-0.09120877223743036,0.015278534591049572,0.04602324702956314,-0.05582507471681524,0.12427064574551397,0.08170762397562381,0.02703863753097627,-0.04275597113381244,0.09976607652738372,-0.013196932536601315,-0.10991842889242799,-0.03739519463950494,0.021619976227492087,-0.03963340726100345,0.07159064566063199,-0.006089160343114126,0.022838773042934524,0.15904333694704184,0.06835070425810362,-0.10530050744922127,-0.014282272708664173,-0.07525829148652144,-0.04145517083870303,0.010282593185691798,0.057860690506195356,0.022333888874004542,0.0034245296273473637,-0.03911565980114532,0.021452753445426107,-0.11502193956817243,0.07505408674303701,-0.038078556970063036,0.03524863296586952,-0.03827311424535134,-0.032796568132690475,0.02692126000125688,0.008538813309244142
studies;-0.041116778672052184,-0.1459671160097409,-0.024260090221023423,0.0536763639817651,-0.039861330485872024,-0.05975797274273269,0.048751536747359187,-0.09483737253571524,-0.01622420113988813,-0.03048119322489992,-0.0036532181298399697,-0.17651125175888022,-0.5169452504287637,0.02090712494329836,-0.0031665193140321857,0.020759124953870618,-0.10025042962030233,-0.08647112025978837,-0.03074487136698383,-0.045798341556019403,0.017916504467275697,-0.049098571205327686,-0.06303948974969954,0.2157227432107132,-0.2275457308718949,0.17936918258920903,-0.19498573319779156,-0.06618321366306125,0.016975428672431705,-0.029261469174098866,0.06329296099596084,-0.06679392626311365,-0.024579906290131653,-0.042171491240387826,0.05425815704365347,0.018367309032773994,0.006402615634588448,0.19971492826226422,0.1569735520051144,0.028388779581266316,-0.05344840997506031,-0.16307897685633474,0.0665268458224222,-0.06607434010762014,0.03390730792268697,0.08548955711151471,0.018743263028906536,0.05838684640389637,-0.10460707298725003,-0.07832261509474367,0.020651952547733284,-0.011482417570567557,-0.03420160675223869,0.20048044544895946,0.0021097653665320282,0.010076587785934378,0.005554762821590898,-0.10892629106951483,-0.07172045464682333,-0.04208813492450323,-0.09266330372550081,0.017421470019879454,0.03252767583733181,-0.036195353736253794,-0.011462173893852725,0.16992099935608623,0.013765189821292705,-0.015076605819566805,-0.01557521268050096,-0.03560165262923906,-0.11467617571624782,-0.02737489459622109,0.014455005863970288,0.038895077681332275,0.05138491586959074,-0.09222270605582512,0.08080629307824372,-0.0737839487522929,0.025899998149854966,-0.06989171914527365,0.04939116888557563,0.11671585373146465,0.03174854945620645,0.10815396928560453,0.1011945674838931,-0.1314239906118355,-0.025411768299673794,-0.02738169919343616,0.048469145962933835,-0.007533369576802477,-0.01094553485029864,0.14524412755563987,0.10494049825078838,0.04641415760398312,-0.10919847495811758,-0.05454395012668636,0.20269193954385675,0.03272671030587256,0.07369719013780078,0.06250362771901288
building;0.05834864058943664,0.10535540681580034,0.0595422493595986,-0.06350136846410107,0.08726817464160955,0.008537671067152655,-0.01576790005306713,-0.04489592698303821,-0.09290110980730872,-0.10040478057081602,-0.015282337932528015,0.03640593117211779,-0.6235612589591384,0.15525378097451006,0.09466647617938617,-0.0007075629876030977,0.02823204303838931,-0.11966143841418142,-0.039941846009341406,-0.11299899409216309,-0.04069670423301836,0.05600115242930625,0.036067367758294715,-0.015477875577654404,-0.03407917138426228,0.14452684832225865,-0.058968764393326864,0.15116338217893338,0.14258874551455716,0.10887923010253028,-0.06518209398272275,-0.02445775192000454,0.002395163416362617,-0.07881272611781391,0.14892990006631482,0.020163524130391484,0.07708017966850503,0.1557616260952447,0.03653721086319204,-0.005641399251044766,0.11954052290924459,0.10038923429160986,-0.007886109231978864,-0.06051648285651805,0.07794040711791263,0.037352526839337395,0.03285274269133176,0.10025449987182311,-0.07187044877008468,0.00018617533031556533,0.07412638661933434,0.008684324300997446,-0.03159694880434516,-0.050304304782426174,-0.13839125012889356,-0.08692961122778646,-0.042684900607050796,-0.11775442816489226,0.03227580299634754,0.01335770856680522,-0.04838002088957463,-0.06381574877693677,0.055154743894748566,-0.10416352540999463,0.06438059692142731,-0.08108593761062598,0.09591017851587909,-0.10939916677375856,-0.009810738597701658,-0.09576680727431115,0.03330013005959796,0.02944638018082615,-0.0663066081786351,0.12034720206360877,-0.05009183896660864,-0.06304879900276614,-0.07933611751775468,0.04576997334729573,0.09045170715016017,-0.04259853238923879,0.16616726897723547,-0.06988397976040849,0.005098661370314105,0.02353879408248477,-0.011588196520272794,-0.09661148844451262,0.07427148522525852,0.09238635522914915,0.07780049060505718,-0.0009466474881502993,0.030515618717338815,0.055607313356083495,0.1264810728926176,-0.12262559564948954,0.09435900532397543,0.04347085138914007,0.06111933301684587,-0.13483806164810752,0.012329408565535448,-0.043301569682228536
process;0.06017550066884254,0.019877577127931378,0.01458503742392303,-0.030743746324628764,-0.0299853071249916,0.16040629622468386,0.09704247531850406,-0.16061837164069614,-0.09153750074862577,-0.010146191131828554,-0.007779393544145657,-0.1166342898096053,-0.536730527439912,0.007191333577033619,0.06558342377715587,0.04378638440938447,-0.02544725267218629,0.08788908469349913,-0.07415630288205936,-0.07990210885656177,-0.08062280582114591,0.09014642979952822,0.07047194184116794,0.13798201685531677,-0.07884532627507682,0.23297742523451578,0.02809280362447517,0.12891489419614735,0.004421233249069728,0.19009505721711592,-0.07228536637300181,0.059718999349629646,-0.11958537314089494,-0.09955862432203967,0.041866922169544435,0.00821648457104556,0.05920139155461661,0.019169460908364928,0.08897282601430767,0.010821956864206691,-0.041917245149615145,0.08509256480099811,0.08371227734763,-0.007939169005870168,0.055098271429565304,0.09902304403414422,-0.006267727167807224,-0.010479221424939374,-0.04360665948056049,-0.0997275657551342,0.06345368337059179,0.032336109194009165,-0.005652349011513941,0.038435973278294795,-0.04039138050389962,0.0009988752094178754,-0.049544771128904555,-0.1256367114943981,-0.03758587436495741,0.04859043175684925,0.029422768097772566,-0.03689752788756159,0.10349280301399644,-0.03631342186888368,0.21617314438947435,-0.02027836371920884,0.10596042628674958,-0.006764127421219036,0.029043548497953982,-0.002314677358323944,-0.11643299788932246,0.1447145126890628,0.004104378199553064,0.08072165453199909,0.22812485215626854,-0.043590484236966334,-0.054627392116046496,-0.08593367746789429,-0.006095370961065033,-0.11074290664275548,0.17632633041991136,0.13617578132063585,0.12253106472431985,-0.049321912217162825,-0.04522418383997625,-0.06715421965507738,-0.05392287039505653,0.005859032679661509,0.006825952796734483,0.04983952001217586,-0.006563374675722659,0.07931620558859562,0.10735149723584712,-0.08465403597466761,0.06531743088249639,-0.028824284084788737,0.060220431901048525,0.09017518578814004,0.07230513611517245,-0.09107920218012465
beginning;0.06216031248615683,0.004544068162953794,-0.009458165674938296,-0.04033185208363817,-0.11315816915469987,0.12685868379379833,0.09103530162580732,-0.032513707283264984,-0.2001198767508764,0.026342703006918246,0.03830756256111968,-0.05679556040556603,-0.6654370747883468,-0.03283505362381687,-0.019592505625744452,0.08583795751903696,-0.0782218568249988,0.1085227000864993,0.021243494608939185,-0.06953396025259297,0.05219087901071173,-0.001432107867998459,0.001727380897685209,0.01618931318322907,0.0684621643742253,0.21430144878601057,0.050709222230921586,-0.04643743255412403,0.042731366375064535,0.032438662329483406,-0.09973089511654973,0.045406045497023366,-0.006133289376497532,0.0855801107547618,-0.06646866252505311,0.08146033521511155,0.09308268190333552,-0.046004480897691845,-0.0028378537906941586,-0.04752077380999657,0.03687593575051726,-0.07240491079213439,0.12533854242232534,-0.005203886487356443,-0.03488628236051335,0.04286413821637041,-0.02024097099560066,-0.11824198371600579,0.05315876649153568,0.01961367215117003,0.03485357045758292,0.03334112600444649,-0.026000190140940783,-0.04084177292343607,0.05136538451911437,-0.15475039161595175,-0.029869815834652445,0.003552127812328056,0.07067887685515808,-0.046906944572654936,-0.043451028239534034,-0.09322122643339381,-0.06817352993660383,-0.04525787981904435,0.055465917762923186,-0.013922378310150153,0.07182764191689148,0.05130573340200593,-0.010203227369918482,-0.10521879789052568,-0.05009154453441167,-0.034911297345107214,-0.02580007026418991,-0.009324239295881939,0.187281416965474,-0.0018899013283619301,0.020281379816867662,0.039639129433346666,-0.06528141287163684,-0.07231832046084795,0.26290748808146386,-0.12178641460999727,0.09102760470747075,0.027782026735857245,0.0715159167242603,-0.021441690256105917,-0.02181691502501381,0.08721378167169923,0.06332254715497923,-0.059597238680078296,0.03511718991061052,0.16334977362748698,0.04476335281591959,-0.052125455204850873,0.010068531299028469,0.0068389043650027865,0.024547396804912785,0.008769868752690329,0.06840828594586928,-0.07716737901288842
common;0.03579012415690828,-0.07290282249156446,0.11861513231578616,0.1376878420837154,-0.016734498438590005,0.01436845354527785,-0.0006749351330013686,-0.05410268969495627,-0.17855327266437618,0.06608839820853821,-0.009463411750794196,-0.1162368022632032,-0.6964149661639218,-0.08626869186697622,0.06884488081992574,-0.0152072995767377,0.07758653946355996,-0.10944925176608185,0.13678373114362938,-0.03076856530496555,0.14251360620977963,-0.00429231947585211,-0.015471046589832857,0.11453415597051467,0.0005284346086969847,0.12269226954878552,-0.08241998181416843,0.01905025096113729,-0.0031795527837759647,0.052033408180279565,-0.014541981419978011,-0.04308827658622258,-0.09885714100728217,0.01749195528988075,0.024109625068960465,0.03357687593202679,0.015192135083262797,0.15400790835252923,-0.004415938891014615,-0.02152974162209081,0.05267262037358879,-0.05112929724019355,0.02673557786309565,-0.010907877743182155,0.07536753257027029,-0.0919275433560921,0.039045691363672363,0.09990521865757297,-0.014683260751592302,-0.07224249518075854,0.04519786877975662,0.08616119672335665,-0.15023981965743613,0.04354321139046969,0.0220595391156444,0.1131136844298275,-0.08176349361563465,0.07580903048156495,-0.041999888257074444,-0.08664876398191684,0.015116504571501885,0.1268538672517717,-0.11302730440370463,0.028257785878994194,0.04012448191214018,0.06366783792096184,0.058375621653834135,-0.058010905987982024,-0.10454286628230294,-0.006943802366596942,-0.06717486698155029,-0.05629866191461318,-0.06060422632780413,-0.01682145433155369,0.11212127390748254,-0.04482355533322419,-0.05115617102609844,0.008138342150069401,0.01284413401762964,-0.06676984063684083,0.11144175103531599,0.07719686956793903,0.11028041957299743,-0.06567761319542058,0.06900612353535508,-0.08010691667021165,-0.09758063617679978,-0.05939682551822004,0.03242514225038855,-0.04243754705609697,-0.037331527734167445,0.07715463933294563,-0.02811381916878941,-0.0007302375452813648,-0.03613372470526368,0.036554107499061635,-0.042449064392913356,0.0656660958586042,-0.008127016768866626,0.05664994068751284
sharing;-0.05413886517515567,0.010763248642656324,0.010059642768501808,0.01756549708598941,-0.10203010168413251,-0.08100892464022706,0.07290168848594279,0.022115916734758937,0.017913675057202913,-0.01987025038216376,0.016569900211509562,-0.03586541225597523,-0.5831663833313135,0.04425902071349602,0.019763313889183037,0.10694918036124573,0.01236348982321022,-0.10762342401190386,-0.05974849984931391,0.10783004706613779,-0.11387830260981019,0.04879385300905141,-0.14988146356860804,0.08489670052910249,-0.15322911954378424,0.1517011964322122,0.04153485886688541,0.08907628617001005,0.09448836020459374,0.01904738313109176,-0.14891722264884968,0.04555494600978783,-0.05158870169000521,-0.06350396448416235,0.15850163239261342,-0.014566744075199482,0.005909600599383832,-0.02729780543699429,-0.0732823099016369,-0.031850762561868445,-0.04976715634346917,0.07799657800744807,0.013992005737501397,0.07812345181267943,0.09246019180382377,0.08640106136256011,-0.06402233460267906,0.11557116166818299,-0.06607225279863155,-0.0009180588546541629,0.04250453723543942,-0.21575796821059692,-0.15022946029152837,-0.14749623603025835,0.04375515045843432,0.0997554356046273,-0.05941862795571236,-0.04157110852552295,0.11506547893018941,-0.24421395024106038,0.09464423373673513,-0.044875264910334084,0.027582365257298926,0.0489968510974216,0.041489546793588496,0.0890726612041463,-0.01897669629674857,-0.005176451253439724,-0.12201272600807261,0.10715761589841155,-0.09555047520267346,-0.01798399939495973,0.05479860896235877,-0.036762591307254185,0.023216093874408067,-0.06414739592497855,-0.08456139118670532,-0.09484360685924156,-0.019516816210447815,0.041005613850777424,0.10911147249897458,0.03485223429705618,-0.01146522328217215,0.007309199919378984,-0.017973305745661656,-0.11321312137381147,0.021840419329113684,0.040025060584632156,0.05612715895142435,0.14140448089622096,-0.0018309702577817962,0.11012283797496177,-0.04952247114766582,-0.06173316865971885,0.05707327504186397,0.0015279956108892945,-0.03869107314677094,-0.048005422933685066,-0.06684618301054289,-0.11219269348316491
doing;-0.022938774234246055,0.004913891367174757,0.11037218304840478,-0.004521162320140879,-0.04367347235671063,0.04604440901377494,0.04080043714974978,0.026790219002183542,0.006567934445142083,-0.024883458043815122,0.023310418176012374,-0.0739525936693535,-0.7903273881619188,0.0002873641972580064,-0.024533050898721168,-0.06539416461039196,-0.07175458521376413,-0.05502909092023172,-0.07853064026629536,-0.006759824072217345,0.03668960007959988,0.005088943248316933,0.013869296832504636,-0.06562928628783597,0.012247108949545853,0.07444103999281781,-0.013484607429925294,0.05385348253301173,-0.0052335051570937905,-0.03513931392251751,0.06367246716588269,0.065630803201884,-0.031263598529811615,-0.02176316584702606,-0.07514943885324586,0.1131663387248683,0.015096025223143095,-0.0530631703139903,0.01157435756924641,0.023604699501329377,-0.06709159143013284,0.03670780304817619,0.11683423689299466,0.037411651166460155,0.05441170690268523,0.008100472707862542,-0.05585580907640578,0.04914346441389164,-0.0689710479356368,-0.03243617308893555,-0.010988828746708456,-0.0578975753850485,0.027938522936539072,-0.1298630116514882,0.0761748727497113,0.059062565373932306,-0.08615768409976905,-0.08754110971156856,0.05403096147663075,0.05537798115127766,-0.07978209435591663,-0.07293322742908016,0.1533448411149275,0.024481475821088287,-0.0021611474442223486,0.01544673575104666,0.006769077247910302,0.03248471433847238,0.03604642852323694,-0.020971336713956602,-0.044283271804017005,0.13609297764673015,0.07975327298900414,0.029123232808047215,0.02127775335165781,-0.026188004125117303,-0.006495577645051252,0.013596707378074401,-0.018318254043959488,-0.05203925333157288,0.25337015344174835,0.032164645474338935,-0.10988828746708455,0.049102507734594944,-0.05993024020940306,-0.013526929331865214,0.02219700326476144,0.0034511311506634835,0.11142643831178271,-0.00702649756186028,0.03974011423017974,0.05892604310960999,-0.06663196647358102,-0.013886286269842524,-0.08984075140837566,-0.04755980614775271,0.039406393139614075,0.03746322624409303,0.05601205122335244,-0.045417923511940295
blogging;-0.04501965891562265,-0.199892474750157,0.0341041411445309,-0.05879469883464856,-0.027336300865969825,-0.007127975623837637,0.07772784164416525,-0.28763321183884566,-0.03405846187699202,-0.1167543806586863,-0.0745047125266216,-0.16567139468072656,-0.4468528667723803,0.07627341376572717,-0.07863229114143516,-0.00033323939254966756,-0.060673030315847476,-0.05710091159430673,-0.0375099873322301,-0.014348406085173975,0.01559599824019598,-0.0016810153171379519,-0.08654211310846834,0.05261155318058519,-0.11005597286678434,0.03463950216008662,-0.011825266063396171,0.04450256960708249,0.13944235925989928,0.032032129568967116,-0.02167389886184975,0.02573387216070577,0.01869926495971761,-0.032240427028944425,0.1206517357651039,0.03863735165508976,0.13941860604077908,0.1067414852141629,-0.10779210836755725,-0.005051396121519964,0.13966710125619058,0.09625900689933976,-0.0024845867199749863,0.0848081281126923,0.0888772372650561,0.015323384371523918,-0.22143481732149475,0.10648202697454205,-0.049123484311316,0.07279813509136888,0.16547040590355547,-0.20466139028121652,-0.1878696915339227,-0.10128738067002015,0.005628233912000993,0.017931487830924048,-0.11371579578199974,-0.07898310791613379,-0.0688057671084704,-0.05922591112021562,0.13443043002553293,-0.1193617532498058,0.0349391581551417,-0.01811840739369316,0.01139094758763646,0.023205067909753144,0.0751021973460302,0.11479199932521585,0.03646301852023887,0.11456360298752143,-0.07252588665683712,0.12475556116079727,0.05675740350241432,0.03205040127598267,0.008520645132563136,0.013458939387656825,-0.010056747541360732,-0.031622843331818716,-0.03247978639084818,-0.13416366310310582,0.1109914842659807,0.12440839872750174,0.0955701635448534,0.0855938115143611,-0.05516776499206115,-0.03270452838713949,0.10072095775253796,0.032967640968163466,0.10928307966002641,-0.08677233661686432,-0.041867789455439654,0.04363466352384369,-0.01832652213660032,-0.0805380301831574,0.08665174335056167,-0.030327379304415956,0.001136354002711313,0.138013511771283,-0.02008791469289969,-0.05337896487523845
while;-0.00765478924544348,-0.03950414256229566,0.017646059493278184,-0.09194926937981804,-0.006253160144883644,0.02471097081246199,-0.007152006300322501,-0.00577421884264421,0.041116291747619056,-0.11224872531896048,-8.986839673920444e-05,0.00029664193762137686,-0.8349278461897681,0.059759807728798534,-0.05655659380423747,-0.014694074853230795,-0.04834663487455234,-0.018520253065601434,-0.13829125999575897,-0.029527955802814584,-0.12607525630978736,-0.0020314052863355633,0.0402064168049969,-7.549529203061701e-05,0.03189914504722384,0.10625425510874391,-0.07819410112958897,-0.02861970274066056,0.043356108674109606,0.04572891979898699,0.06776865348043527,0.003886674353831971,-0.04828662529723145,0.05885317654711265,-0.0012318019967417142,0.030419990060287286,-0.013642447557693884,-0.021645616727692156,0.018416452715640973,0.07019174289982476,-0.012709379724377438,0.03091304172259947,0.05741943421328379,0.024211431628277276,0.1168856815773504,-0.058201180598923506,0.01879597274518391,0.08548121007290688,-0.06783190681869242,0.03310420223504606,-0.08138109624946872,-0.036336610008033496,0.08934290746752961,-0.035730026712952064,-0.008437508759364073,0.009334733034334798,-0.030606506314122484,0.0048849417819673314,0.10091502460765277,0.016301520585196603,0.025392160609077508,-0.004837907248391498,0.04546617516314958,-0.07311112774246269,0.0852054903933244,-0.0014105980995486062,0.022980424352964948,0.040465917679898045,0.048366097440169925,0.024563379689861962,-0.029047879184247456,0.02399896528695196,0.011875084411570242,-0.1325270968120172,-0.010045278867423508,0.029738800263671768,-0.01725518630045833,-0.0340692211135847,0.023689186117538712,0.03736812598576557,0.20137267892329225,0.013470203851978247,-0.07645544526775126,0.07720637592449646,0.021697516902672388,-0.0814816528384929,0.021692651261267994,0.022915549134239658,0.03318367437798453,0.02390489621980029,0.0824791093263942,-0.02678859969213932,-0.057388618484389274,0.0035412138141198155,-0.08353333163068014,0.0157530006108743,0.02261387936716707,-0.021295290546575606,0.018109917307163992,0.005346691151244565
